diameter,large,mid,small,combustible,garbage,umbrella
8,0.000,0.000,0.018,0.005,0.004,0.001
12,0.000,0.000,0.045,0.011,0.010,0.005
16,0.000,0.020,0.079,0.024,0.021,0.013
20,0.000,0.070,0.103,0.042,0.035,0.243
24,0.000,0.153,0.125,0.069,0.056,0.041
28,0.071,0.268,0.077,0.101,0.079,0.064
32,0.197,0.329,0.049,0.140,0.106,0.092
36,0.434,0.334,0.023,0.178,0.145,0.129
40,0.728,0.286,0.000,0.243,0.171,0.173
44,1.054,0.232,0.000,0.286,0.214,0.227
48,1.408,0.176,0.000,0.352,0.264,0.290
52,1.784,0.160,0.000,0.426,0.293,0.365
56,2.161,0.125,0.000,0.501,0.345,0.442
60,2.623,0.073,0.000,0.547,0.400,0.528
64,3.066,0.042,0.000,0.672,0.420,0.626
68,3.527,0,0,0.705,0.471,0.715
72,4.005,0,0,0.801,0.534,0.828
76,4.497,0,0,0.858,0.562,0.935
80,5.044,0,0,0.995,0.597,1.068
84,6.278,0,0,1.141,0.734,1.329
88,6.107,0,0,1.190,0.634,1.309
92,6.725,0,0,1.207,0.690,1.440
96,7.272,0,0,1.305,0.746,1.576
100,7.859,0,0,1.411,0.806,1.723
