diameter,large,mid,small,combustible,garbage,umbrella
8,0,0,0.023,0.006,0.004,0.002
12,0,0,0.058,0.015,0.013,0.006
16,0,0.025,0.098,0.03,0.025,0.016
20,0,0.085,0.124,0.052,0.042,0.032
24,0,0.182,0.148,0.081,0.067,0.049
28,0.084,0.314,0.09,0.119,0.091,0.075
32,0.228,0.38,0.057,0.162,0.124,0.107
36,0.498,0.383,0.026,0.204,0.166,0.148
40,0.83,0.326,0,0.277,0.195,0.197
44,1.194,0.263,0,0.324,0.243,0.257
48,1.588,0.199,0,0.397,0.297,0.328
52,2.003,0.179,0,0.478,0.329,0.409
56,2.42,0.141,0,0.561,0.386,0.495
60,2.931,0.081,0,0.611,0.448,0.59
64,3.419,0.046,0,0.749,0.469,0.698
68,3.933,0,0,0.787,0.524,0.797
72,4.457,0,0,0.891,0.594,0.921
76,5.004,0,0,0.987,0.593,1.04
80,5.601,0,0,1.106,0.663,1.187
84,6.972,0,0,1.268,0.814,1.476
88,6.782,0,0,1.321,0.705,1.453
92,7.469,0,0,1.34,0.766,1.599
96,8.076,0,0,1.45,0.828,1.75
100,8.728,0,0,1.567,0.895,1.913
