diameter	large	mid	small	combustible	garbage	umbrella
8	0	0	18	8	4	2
12	0	0	49	22	10	6
16	0	22	85	46	20	18
20	0	78	110	78	32	38
24	0	186	119	122	50	67
28	92	238	126	175	70	107
32	241	260	111	225	90	153
36	456	271	99	291	116	213
40	749	281	31	357	142	281
44	1043	270	0	446	173	365
48	1344	232	0	540	202	452
52	1672	219	0	617	233	551
56	2022	193	0	725	270	661
60	2422	149	0	846	309	786
64	2862	84	0	916	347	901
68	3298	0	0	1027	3386	1022
72	3738	0	0	1167	435	1175
76	4090	0	0	1358	480	1322
80	4510	0	0	1500	526	1477
84	4871	0	0	1719	574	1633
88	5403	0	0	1917	626	1828
92	5785	0	0	2171	679	2003
96	6268	0	0	2355	733	2189
100	6671	0	0	2647	790	2385
104	7070	0	0	2959	848	2589
108	7473	0	0	3296	908	2802
112	7992	0	0	3709	984	3057
116	8389	0	0	4095	1047	3274
120	8787	0	0	4506	1112	3501
124	9185	0	0	4945	1178	3735
128	9574	0	0	5406	1246	3975
132	9960	0	0	5897	1315	4224
136	10335	0	0	6412	1385	4479
140	10699	0	0	7276	1483	4826
144	11051	0	0	7869	1556	5098
148	11392	0	0	8536	1635	5391
152	11722	0	0	9255	1718	5696
156	12041	0	0	9932	1797	5990
160	12349	0	0	10715	1884	6312
164	12645	0	0	11516	1970	6637
168	12930	0	0	12368	2060	6976
172	13204	0	0	13236	2150	7319
176	13466	0	0	14154	2243	7675
180	13717	0	0	15089	2336	8035
184	13957	0	0	16075	2431	8408
188	17186	0	0	17074	2527	8785
192	14404	0	0	18123	2626	9140
196	14610	0	0	19199	2726	9499
200	14805	0	0	20303	2826	9863
