diameter	large	mid	small	combustible	garbage	umbrella
8	0	0	9	4	2	1
12	0	0	29	13	6	3
16	0	13	51	27	12	11
20	0	48	69	48	20	24
24	0	116	74	76	31	42
28	55	147	78	107	44	66
32	152	164	70	142	56	96
36	289	172	62	185	73	135
40	485	182	20	231	92	182
44	688	179	0	294	113	241
48	895	154	0	360	134	301
52	1123	147	0	415	156	370
56	1370	130	0	491	183	448
60	1654	101	0	578	211	537
64	1955	57	0	625	237	615
68	2252	0	0	701	264	698
72	2573	0	0	802	300	809
76	2815	0	0	935	330	910
80	3104	0	0	1032	362	1017
84	3352	0	0	1134	394	1124
88	3746	0	0	1329	434	1267
92	4011	0	0	1505	471	1399
96	4346	0	0	1632	509	1518
100	4626	0	0	1834	548	1654
