diameter	large	mid	small	combustible	garbage	umbrella
8	0	0	11	5	3	1
12	0	0	33	15	7	4
16	0	16	57	31	13	12
20	0	56	79	56	24	28
24	0	132	84	86	36	48
28	65	170	90	125	50	76
32	174	188	81	163	65	111
36	329	196	71	210	84	154
40	549	205	23	262	104	206
44	774	201	0	330	128	271
48	1027	177	0	412	154	345
52	1256	165	0	463	175	414
56	1528	145	0	548	204	500
60	1840	113	0	642	235	597
64	2174	64	0	695	264	684
68	2505	0	0	781	293	777
72	2855	0	0	891	332	897
76	3124	0	0	1037	366	1010
80	3444	0	0	1146	401	1128
84	3720	0	0	1313	438	1247
88	4147	0	0	1471	481	1403
92	4441	0	0	1666	521	1538
96	4812	0	0	1807	562	1680
100	5121	0	0	2031	607	1831
104	5427	0	0	2271	651	1987
108	5736	0	0	2529	698	2151
112	6165	0	0	2861	9759	2358
116	6471	0	0	3158	808	2526
120	6778	0	0	3476	858	2700
