height	I	II	III	IV	V	VI	VII
8	145 - 131	130 - 116	115 - 101	100 - 86	85 - 71	70 - 56	55 - 40
12	180 - 161 	160 - 141	140 - 126	125 - 111	110 - 96	95 - 81	80 - 60
16	215 - 191	190 - 171	170 - 151	150 - 131	130 - 116	115 - 101	100 - 80
20	245 - 221	220 - 196	195 - 176	175 - 156	155 - 136	135 - 116	115 - 95
24	270 - 246	245 - 221	220 - 196	195 - 171	170 - 151	150 - 131	130 - 110
28	290 - 266	265 - 241	240 - 216	215 - 191	190 - 166	165 - 141	140 - 120
32	305 - 276	275 - 251	250 - 226	225 - 201 	200 - 176	175 - 151	150 - 130
36	320 - 291	290 - 261	260 - 236	235 - 211	210 - 186	185 - 161	160 - 140
40	330 - 301	300 - 271	270 - 246	245 - 221	220 - 196	195 - 171	170 - 150
44	340 - 310	310 - 281	280 - 256	255 - 231	230 - 206	205 - 181	180 - 160
48	345 - 316	315 - 286	285 - 261	260 - 236	235 - 211	210 - 186	185 - 165
52	350 - 321	320 - 291	290 - 266	265 - 241	240 - 216	215 - 191	190 - 170
56	355 - 326	325 - 296	295 - 271	270 - 246	245 - 221	220 - 196	195 - 175
60	360 - 331	330 - 301	300 - 276	275 - 251	250 - 226	225 - 201	200 - 180
64	360 - 331	330 - 301	300 - 276	275 - 251	250 - 226	225 - 201	200 - 180
68	360 - 331	330 - 301	300 - 276	275 - 251	250 - 226	225 - 201	200 - 180
72	365 - 336	335 - 306	305 - 281	280 - 256	255 - 231	230 - 206	205 - 185
76	365 - 336	335 - 306	305 - 281	275 - 251	255 - 231	230 - 206	205 - 185
80	365 - 336	335 - 306	305 - 281	275 - 251	255 - 231	230 - 206	205 - 185
84	365 - 336	335 - 306	305 - 281	275 - 251	255 - 231	230 - 206	
88	370 - 341	340 - 311	310 - 286	285 - 251	260 - 236	235 - 211	
92	370 - 341	340 - 311	310 - 286	285 - 251	260 - 236	235 - 211	
96	370 - 341	340 - 311	310 - 286	285 - 251	260 - 236	235 - 211	
100	370 - 341	340 - 311	310 - 286	285 - 251	260 - 236	235 - 211	
104	370 - 341	340 - 311	310 - 286	285 - 251	260 - 236		
108	370 - 341	340 - 311	310 - 286	285 - 251	260 - 236		
112	375 - 346	345 - 316	315 - 291	290 - 266	265 - 241		
116	375 - 346	345 - 316	315 - 291	290 - 266	265 - 241		
120	375 - 346	345 - 316	315 - 291	290 - 266	265 - 241		
124	375 - 346	345 - 316	315 - 291	290 - 266			
128	375 - 346	345 - 316	315 - 291	290 - 266			
132	375 - 346	345 - 316	315 - 291	290 - 266			
136	375 - 346	345 - 316	315 - 291	290 - 266			
140	380 - 351	350 - 321	320 - 291	290 - 271			
144	380 - 351	350 - 321	320 - 291	290 - 271			
148	380 - 351	350 - 321	320 - 291	290 - 271			
152	380 - 351	350 - 321	320 - 291	290 - 271			
156	380 - 351	350 - 321	320 - 291	290 - 271			
160	380 - 351	350 - 321	320 - 291	290 - 271			
164	380 - 351	350 - 321	320 - 291				
168	380 - 351	350 - 321	320 - 291				
172	380 - 351	350 - 321	320 - 291				
176	380 - 351	350 - 321	320 - 291				
180	380 - 351	350 - 321	320 - 291				
184	380 - 351	350 - 321	320 - 291				
188	380 - 351	350 - 321	320 - 291				
192	380 - 351	350 - 321	320 - 291				
196	380 - 351	350 - 321	320 - 291				
200	380 - 351	350 - 321	320 - 291				
